gene1533	K02090
gene1534	K02099
gene1535	K02100
gene1536	K02101
gene1537	K02102
gene1538	K02103
gene1539	K02106
gene1540	K02108
gene1541	K02109
gene1542	K02110
gene1543	K02111
gene1544	K02112
gene1545	K02113
gene1546	K02114
gene1547	K02115
gene1548	K02116
gene1549	K02117
gene1550	K02118
gene1551	K02119
gene1552	K02120
gene1553	K02121
gene1554	K02122
gene1555	K02123
gene1556	K02124
gene1557	K02132
gene1558	K02133
gene1559	K02144
gene1560	K02145
gene1561	K02146
gene1562	K02147
gene1563	K02148
gene1564	K02149
gene1565	K02150
gene1566	K02154
gene1567	K02155
gene1568	K02156
gene1569	K02160
gene1570	K02167
gene1571	K02168
gene1572	K02169
gene1573	K02170
gene1574	K02172
gene1575	K02173
gene1576	K02178
gene1577	K02180
gene1578	K02182
gene1579	K02183
gene1580	K02184
gene1581	K02188
gene1582	K02189
gene1583	K02190
gene1584	K02191
gene1585	K02192
gene1586	K02193
gene1587	K02194
gene1588	K02195
gene1589	K02196
gene1590	K02197
gene1591	K02198
gene1592	K02199
gene1593	K02200
gene1594	K02201
gene1595	K02202
gene1596	K02203
gene1597	K02204
gene1598	K02205
gene1599	K02206
gene1600	K02208
gene1601	K02209
gene1602	K02210
gene1603	K02212
gene1604	K02213
gene1605	K02214
gene1606	K02217
gene1607	K02218
gene1608	K02219
gene1609	K02220
gene1610	K02221
gene1611	K02224
gene1612	K02226
gene1613	K02227
gene1614	K02230
gene1615	K02231
gene1616	K02232
gene1617	K02233
gene1618	K02234
gene1619	K02236
gene1620	K02237
gene1621	K02238
gene1622	K02240
gene1623	K02241
gene1624	K02242
gene1625	K02243
gene1626	K02244
gene1627	K02245
gene1628	K02246
gene1629	K02248
gene1630	K02250
gene1631	K02255
gene1632	K02256
gene1633	K02259
gene1634	K02261
gene1635	K02266
gene1636	K02274
gene1637	K02275
gene1638	K02276
gene1639	K02278
gene1640	K02279
gene1641	K02280
gene1642	K02281
gene1643	K02282
gene1644	K02283
gene1645	K02288
gene1646	K02289
gene1647	K02291
gene1648	K02292
gene1649	K02293
gene1650	K02297
gene1651	K02298
gene1652	K02299
gene1653	K02300
gene1654	K02301
gene1655	K02302
gene1656	K02303
gene1657	K02304
gene1658	K02312
gene1659	K02313
gene1660	K02314
gene1661	K02315
gene1662	K02316
gene1663	K02317
gene1664	K02319
gene1665	K02320
gene1666	K02321
